penetration,installed_ev,installed_pv,violation,reason,location,value,search_step,mc_run
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.70494156015108,5,39
0.078125,0.044,0,False,,,,6,39
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.89994407693374,0,40
0.5,0.3080000000000001,0,True,Transformer Overloading,0.0,171.35726624969107,1,40
0.25,0.154,0,True,Transformer Overloading,0.0,129.09982826415168,2,40
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.30015623887796,3,40
0.0625,0.044,0,False,,,,4,40
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.51291703234185,5,40
0.078125,0.044,0,False,,,,6,40
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.89999302051442,0,41
0.5,0.3080000000000001,0,True,Transformer Overloading,0.0,171.91818276695614,1,41
0.25,0.154,0,True,Transformer Overloading,0.0,129.26455423928007,2,41
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.65570044872123,3,41
0.0625,0.044,0,False,,,,4,41
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.71112897289791,5,41
0.078125,0.044,0,False,,,,6,41
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.89995334012573,0,42
0.5,0.3080000000000001,0,True,Line Overloading,36.0,111.21189495081667,1,42
0.25,0.154,0,True,Transformer Overloading,0.0,129.6090858859388,2,42
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.59210750256526,3,42
0.0625,0.044,0,False,,,,4,42
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.69040587996663,5,42
0.078125,0.044,0,False,,,,6,42
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.8999256442341,0,43
0.5,0.3080000000000001,0,True,Transformer Overloading,0.0,171.86628800843687,1,43
0.25,0.154,0,True,Transformer Overloading,0.0,129.09515629085612,2,43
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.52430478456961,3,43
0.0625,0.044,0,False,,,,4,43
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.63024564208074,5,43
0.078125,0.044,0,False,,,,6,43
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.89989195045277,0,44
0.5,0.3080000000000001,0,True,Transformer Overloading,0.0,171.4895392093663,1,44
0.25,0.154,0,True,Transformer Overloading,0.0,129.44616113732602,2,44
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.94407170228139,3,44
0.0625,0.044,0,True,Transformer Overloading,0.0,100.03053861586383,4,44
0.03125,0.022,0,False,,,,5,44
0.046875,0.033,0,False,,,,6,44
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.89990633649148,0,45
0.5,0.3080000000000001,0,True,Transformer Overloading,0.0,171.4436465864884,1,45
0.25,0.154,0,True,Transformer Overloading,0.0,129.14546935876015,2,45
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.68055020905449,3,45
0.0625,0.044,0,False,,,,4,45
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.75444801209164,5,45
0.078125,0.044,0,False,,,,6,45
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.89990895252183,0,46
0.5,0.3080000000000001,0,True,Line Overloading,36.0,110.57717541873598,1,46
0.25,0.154,0,True,Transformer Overloading,0.0,129.54179305357937,2,46
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.78226136139017,3,46
0.0625,0.044,0,False,,,,4,46
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.78259738508851,5,46
0.078125,0.044,0,False,,,,6,46
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.90002436315729,0,47
